序号,时间(s),电压,阻抗
1,0.022,-0.013375597425179105,7339.408203
2,0.148,0.007669169703258756,7336.621094
3,0.274,0.034833204158343165,7340.77832
4,0.4,0.05177088301156349,7340.632813
5,0.526,0.06646799952562016,7342.96875
6,0.653,0.0792738521829035,7342.324707
7,0.778,0.0793929035411449,7339.226563
8,0.904,0.08239350165733629,7342.450195
9,1.03,0.0846012683242294,7341.223145
10,1.156,0.08500282027191043,7341.574707
11,1.282,0.08375581862560125,7342.615723
12,1.408,0.07510302069189449,7342.315918
13,1.534,0.05675766349883836,7341.244629
14,1.66,0.037758922522954465,7338.604492
15,1.786,0.018725203497047337,7339.933594
16,1.912,-0.0025083614953024173,7336.651855
17,2.039,-0.029080711659738204,7341.140625
18,2.164,-0.043590512542048106,7339.157715
19,2.29,-0.05483452815584846,7344.897949
20,2.417,-0.05914550404652298,7341.627441
21,2.542,-0.06016596721976671,7341.407715
22,2.669,-0.04234451362027304,7336.962402
23,2.794,-0.023047311651067576,7339.026367
24,2.92,0.009049746300905784,7341.912598
25,3.046,0.037737164429558226,7340.833496
26,3.172,0.06753595081174936,7341.116211
27,3.298,0.09092649674847834,7339.518066
28,3.424,0.10919048835556239,7342.128418
29,3.55,0.11801893199349071,7340.571289
30,3.679,0.11513248885960654,7344.406738
31,3.802,0.10403535859637082,7340.320313
32,3.928,0.09362200663250679,7339.341797
33,4.054,0.08108579459059995,7339.543457
34,4.18,0.07277970794174984,7342.408691
35,4.306,0.07141476054886814,7339.91748
36,4.432,0.06423811234709303,7339.059082
37,4.558,0.06550192323657072,7342.27002
38,4.684,0.05600736382786424,7342.860352
39,4.81,0.046186009698681904,7341.756348
40,4.936,0.03802268616209168,7348.279297
41,5.062,0.0284785670735893,7339.962402
42,5.188,0.028959144818384866,7338.523438
43,5.314,0.02625154293591802,7340.725098
44,5.44,0.03955430414792599,7337.666992
45,5.566,0.05801313629119171,7340.799316
46,5.692,0.07015120985069556,7343.922852
47,5.818,0.08263201026216888,7337.993652
48,5.944,0.08769592442543278,7340.944336
49,6.07,0.08529679395153948,7339.333496
50,6.196,0.07458867911658787,7342.923828
51,6.322,0.0633511882089067,7338.422363
52,6.448,0.048839697465099204,7339.866699
53,6.574,0.03712969348416384,7342.044434
54,6.7,0.032471448456995296,7341.236816
55,6.826,0.02598432832260786,7342.512695
